序号,city,HS,HS_type,HS_2,HS_type2
1,Aba,55,Poor,0,0
2,Akesu,55,Poor,0,0
3,Alaer,55,Poor,0,0
4,Alashan,55,Poor,0,0
5,Aletai,55,Poor,0,0
6,Ali,55,Poor,0,0
7,Ankang,65.81,Good,0,Good
8,Anqing,63.75,Intermediate,0,Intermediate
9,Anshan,57.9,Moderate,0,Moderate
10,Anshun,65.02,Good,0,Good
11,Anyang,55.63,Moderate,0,Moderate
12,Baicheng,60.92,Intermediate,0,Intermediate
13,Baise,55.31,Moderate,0,Moderate
14,Baisha,55,Poor,0,0
15,Baishan,75.34,Excellent,0,Excellent
16,Baiyin,58.19,Moderate,0,Moderate
17,Baoding,67.52,Good,0,Good
18,Baoji,63.24,Intermediate,0,Intermediate
19,Baoshan,58.18,Moderate,0,Moderate
20,Baoting,55,Poor,0,0
21,Baotou,70.06,Good,0,Good
22,Bayanzhuoer,62.17,Intermediate,0,Intermediate
23,Bayinguoleng,55,Poor,0,0
24,Bazhong,60.44,Intermediate,0,Intermediate
25,Beihai,57.94,Moderate,0,Moderate
26,Beijing,81.98,Excellent,0,Excellent
27,Bengbu,60.33,Intermediate,0,Intermediate
28,Benxi,64.21,Intermediate,0,Intermediate
29,Bijie,63.29,Intermediate,0,Intermediate
30,Binnzhou,55,Poor,0,0
31,Binzhou,61.7,Intermediate,0,Intermediate
32,Boertalameng,55,Poor,0,0
33,Bozhou,61.11,Intermediate,0,Intermediate
34,Cangzhou,64.69,Intermediate,0,Intermediate
35,Changchun,70.7,Good,0,Good
36,Changde,59.54,Moderate,0,Moderate
37,Changdu,70.77,Good,0,Good
38,Changji,55,Poor,0,0
39,Changjiang,55,Poor,0,0
40,Changsha,70.17,Good,0,Good
41,Changzhi,56.67,Moderate,0,Moderate
42,Changzhou,69.59,Good,0,Good
43,Chaoyang,69.98,Good,0,Good
44,Chaozhou,51.37,Poor,0,Poor
45,Chengde,63.35,Intermediate,0,Intermediate
46,Chengdu,70.09,Good,0,Good
47,Chengmai,55,Poor,0,0
48,Chifeng,64.92,Intermediate,0,Intermediate
49,Chizhou,71.26,Good,0,Good
50,Chongqing,64.77,Intermediate,0,Intermediate
51,Chongzuo,60.25,Intermediate,0,Intermediate
52,Chuxiong,55,Poor,0,0
53,Chuzhou,63.24,Intermediate,0,Intermediate
54,Dali,55,Poor,0,0
55,Dalian,64.39,Intermediate,0,Intermediate
56,Dandong,65.38,Good,0,Good
57,Danzhou,58.67,Moderate,0,Moderate
58,Daqing,63.35,Intermediate,0,Intermediate
59,Datong,60.51,Intermediate,0,Intermediate
60,Daxinganling,55,Poor,0,0
61,Dazhou,65.04,Good,0,Good
62,Dehong,55,Poor,0,0
63,Deyang,59.79,Moderate,0,Moderate
64,Dezhou,53.36,Poor,0,Poor
65,Dingan,55,Poor,0,0
66,Dingxi,64.7,Intermediate,0,Intermediate
67,Diqing,55,Poor,0,0
68,Dongfang,55,Poor,0,0
69,Dongguan,57.91,Moderate,0,Moderate
70,Dongying,67.11,Good,0,Good
71,Eerduosi,67.27,Good,0,Good
72,Enshi,55,Poor,0,0
73,Ezhou,60.87,Intermediate,0,Intermediate
74,Fangchenggang,54.62,Poor,0,Poor
75,Foshan,66.42,Good,0,Good
76,Fushun,61.42,Intermediate,0,Intermediate
77,Fuuzhou,59.7,Moderate,0,Moderate
78,Fuxin,56.94,Moderate,0,Moderate
79,Fuyang,61.3,Intermediate,0,Intermediate
80,Fuzhou,60.37,Intermediate,0,Intermediate
81,Gannan,55,Poor,0,0
82,Ganzhou,58,Moderate,0,Moderate
83,Ganzi,55,Poor,0,0
84,Guangan,61.65,Intermediate,0,Intermediate
85,Guangyuan,70.18,Good,0,Good
86,Guangzhou,69.07,Good,0,Good
87,Guigang,53.65,Poor,0,Poor
88,Guilin,56.75,Moderate,0,Moderate
89,Guiyang,68.62,Good,0,Good
90,Guoluo,55,Poor,0,0
91,Guyuan,67.69,Good,0,Good
92,Haerbin,71.04,Good,0,Good
93,Haibei,55,Poor,0,0
94,Haidong,52.31,Poor,0,Poor
95,Haikou,67.83,Good,0,Good
96,Hainan,55,Poor,0,0
97,Haixi,55,Poor,0,0
98,Hami,63.67,Intermediate,0,Intermediate
99,Handan,61.17,Intermediate,0,Intermediate
100,Hangzhou,79.58,Excellent,0,Excellent
101,Hanzhong,64.6,Intermediate,0,Intermediate
102,Hebi,60.43,Intermediate,0,Intermediate
103,Hechi,63.44,Intermediate,0,Intermediate
104,Hefei,66.83,Good,0,Good
105,Hegang,67.7,Good,0,Good
106,Heihe,61.81,Intermediate,0,Intermediate
107,Hengshui,59.68,Moderate,0,Moderate
108,Hengyang,60.37,Intermediate,0,Intermediate
109,Hetian,55,Poor,0,0
110,Heyuan,61.11,Intermediate,0,Intermediate
111,Heze,55.26,Moderate,0,Moderate
112,Hezhou,52.94,Poor,0,Poor
113,Honghe,55,Poor,0,0
114,Huaian,62.95,Intermediate,0,Intermediate
115,Huaibei,63.83,Intermediate,0,Intermediate
116,Huaihua,68.01,Good,0,Good
117,Huainan,61.85,Intermediate,0,Intermediate
118,Huanggang,59.28,Moderate,0,Moderate
119,Huangnan,55,Poor,0,0
120,Huangshan,61.86,Intermediate,0,Intermediate
121,Huangshi,61.17,Intermediate,0,Intermediate
122,Huhehaote,67.04,Good,0,Good
123,Huizhou,63.98,Intermediate,0,Intermediate
124,Huludao,55.54,Moderate,0,Moderate
125,Hulunbeier,68.08,Good,0,Good
126,Huzhou,69.61,Good,0,Good
127,Jiamusi,70.28,Good,0,Good
128,Jian,57.47,Moderate,0,Moderate
129,Jiangmen,60.97,Intermediate,0,Intermediate
130,Jiaozuo,60.35,Intermediate,0,Intermediate
131,Jiaxing,63.15,Intermediate,0,Intermediate
132,Jiayuguan,68.85,Good,0,Good
133,Jieyang,54.1,Poor,0,Poor
134,Jilin,64.68,Intermediate,0,Intermediate
135,Jinan,71.97,Good,0,Good
136,Jinchang,67.35,Good,0,Good
137,Jincheng,65.47,Good,0,Good
138,Jingdezhen,62.32,Intermediate,0,Intermediate
139,Jingmen,62.39,Intermediate,0,Intermediate
140,Jingzhou,62.95,Intermediate,0,Intermediate
141,Jinhua,62.99,Intermediate,0,Intermediate
142,Jining,60.5,Intermediate,0,Intermediate
143,Jinzhong,60.67,Intermediate,0,Intermediate
144,Jinzhou,55.89,Moderate,0,Moderate
145,Jiujiang,61.32,Intermediate,0,Intermediate
146,Jiuquan,70.36,Good,0,Good
147,Jixi,67.7,Good,0,Good
148,Jiyuan,55,Poor,0,0
149,Kaifeng,58.17,Moderate,0,Moderate
150,Kashi,55,Poor,0,0
151,Kelamayi,69.99,Good,0,Good
152,Kezilesu,55,Poor,0,0
153,Kunming,68.95,Good,0,Good
154,Laibin,56.51,Moderate,0,Moderate
155,Langfang,57.82,Moderate,0,Moderate
156,Lanzhou,68.49,Good,0,Good
157,Lasa,65.41,Good,0,Good
158,Ledong,55,Poor,0,0
159,Leshan,65.88,Good,0,Good
160,Liangshan,55,Poor,0,0
161,Lianyungang,60.84,Intermediate,0,Intermediate
162,Liaocheng,57.83,Moderate,0,Moderate
163,Liaoyang,72.14,Good,0,Good
164,Liaoyuan,61.38,Intermediate,0,Intermediate
165,Lijiang,63.01,Intermediate,0,Intermediate
166,Lincang,69.35,Good,0,Good
167,Linfen,58.47,Moderate,0,Moderate
168,Lingao,55,Poor,0,0
169,Lingshui,55,Poor,0,0
170,Linxia,55,Poor,0,0
171,Linyi,55.46,Moderate,0,Moderate
172,Linzhi,75.61,Excellent,0,Excellent
173,Lishui,70.52,Good,0,Good
174,Liuan,59.86,Moderate,0,Moderate
175,Liupanshui,62.71,Intermediate,0,Intermediate
176,Liuzhou,66.06,Good,0,Good
177,Longnan,54.13,Poor,0,Poor
178,Longyan,65.81,Good,0,Good
179,Loudi,62.76,Intermediate,0,Intermediate
180,Luohe,60.27,Intermediate,0,Intermediate
181,Luoyang,60.56,Intermediate,0,Intermediate
182,Luzhou,55,Poor,0,0
183,Lvliang,60.59,Intermediate,0,Intermediate
184,Maanshan,65.57,Good,0,Good
185,Maoming,53.84,Poor,0,Poor
186,Meishan,68.29,Good,0,Good
187,Meizhou,58.19,Moderate,0,Moderate
188,Mianyang,65.2,Good,0,Good
189,Mudanjiang,62.87,Intermediate,0,Intermediate
190,Nanchang,64.81,Intermediate,0,Intermediate
191,Nanchong,65.52,Good,0,Good
192,Nanjing,76.89,Excellent,0,Excellent
193,Nanning,63.02,Intermediate,0,Intermediate
194,Nanping,60.33,Intermediate,0,Intermediate
195,Nantong,65.76,Good,0,Good
196,Nanyang,59.2,Moderate,0,Moderate
197,Naqu,54.59,Poor,0,Poor
198,Neijiang,65.03,Good,0,Good
199,Ningbo,66.38,Good,0,Good
200,Ningde,54.61,Poor,0,Poor
201,Nujiang,55,Poor,0,0
202,Panjin,64.59,Intermediate,0,Intermediate
203,Panzhihua,81.66,Excellent,0,Excellent
204,Pingdingshan,56.87,Moderate,0,Moderate
205,Pingliang,65.48,Good,0,Good
206,Pingxiang,65.04,Good,0,Good
207,Puer,63.09,Intermediate,0,Intermediate
208,Putian,50.9,Poor,0,Poor
209,Puyang,57.25,Moderate,0,Moderate
210,Qiandongnan,55,Poor,0,0
211,Qianjiang,55,Poor,0,0
212,Qiannan,55,Poor,0,0
213,Qianxinan,55,Poor,0,0
214,Qingdao,70.17,Good,0,Good
215,Qingyang,61.47,Intermediate,0,Intermediate
216,Qingyuan,54.31,Poor,0,Poor
217,Qinhuangdao,57.43,Moderate,0,Moderate
218,Qinzhou,54,Poor,0,Poor
219,Qionghai,55,Poor,0,0
220,Qiongzhong,55,Poor,0,0
221,Qiqihaer,69.34,Good,0,Good
