,Beijing,Guangzhou,Shanghai,Wuhan,Chengdu,Shenyang,Tianjin,Xian,Chongqing,Jinan,Haerbin,Hangzhou,Nanjing,Taiyuan,Changchun,Zhengzhou,Nanning,Kunming,Foshan,Shijiazhuang,Fuzhou,Shenzhen,Changsha,Qingdao,Dalian,Wulumuqi,Hefei,Jilin,Shiyan,Nanchang,Tangshan,Guiyang,Lanzhou,Yinchuan,Liuzhou,Dongguan,Guilin,Anshan,Shantou,Huhehaote,Wenzhou,Zhanjiang,Benxi,Zhenjiang,Xining,Baotou,Changzhou,Zhongshan,Kaifeng,Suuzhou,Qiqihaer,Jinzhou,Huizhou,Weifang,Jincheng,Xiangfan,Fushun,Cangzhou,Jingzhou,Xuzhou,Chengde,Nantong,Yantai,Hengyang,Liaocheng,Taian,Dandong,Yichang,Jiangmen,Yibin,Zhuzhou,Yangzhou,Zunyi,Datong,Xiamen,Mianyang,Jiamusi,Zibo,Zhangjiakou,Dongying,Jiaozuo,Langfang,Chaoyang,Anyang,Baise,Maoming,Jining,Baoding,Zhuhai,Bengbu,Handan,Suining,Yulin,Wuhu,Nanyang,Luzhou,Changde,Zaozhuang,Yanbian,Quanzhou,Yuxi,Zhaoqing,Binnzhou,Jinhua,Xinxiang,Luoyang,Tianshui,Shaoguan,Puyang,Nanchong,Xingtai,Tieling,Fuxin,Wuzhou,Qinhuangdao,Qingyuan,Ganzhou,Qinzhou,Yuulin,Shihezi,Meizhou,Huaihua,Shaoyang,Baoji,Suihua,Changzhi,Liaoyang,Yangjiang,Pingdingshan,Mudanjiang,Anqing,Xiangtan,Panjin,Yiyang,Qianjiang,Yingkou,Enshi,Luohe,Zhoukou,Linyi,Xiaogan,Huanggang,Hengshui,Jixi,Huangshi,Yili,Panzhihua,Xuchang,Taiizhou,Hechi,Wuxi,Xianyang,Weinan,Loudi,Kelamayi,Shangrao,Shuangyashan,Liaoyuan,Ezhou,Tongchuan,Xishuangbanna,Xianning,Heze,Daqing,Dezhou
Aba,0.041202128,0.023670836,0.023349042,0.013316899,0.34495169,0.0092457207,0.022788129,0.038722407,0.061224165,0.015009598,0.0032270013,0.010556225,0.013232347,0.011461887,0.0015927377,0.011356113,0.0035330228,0.01195523,0.0065522169,0.0071004896,0.0061638181,0.0038351946,0.0082742561,0.0044854474,0.0026990607,0.0025495693,0.0024655066,0.0017594483,0.0051349053,0.0019147417,0.0039003436,0.0040686623,0.012279636,0.0046380399,0.0024320894,0.0017523198,0.0028019663,0.0012128848,0.0014060932,0.0033035341,0.00077075046,0.0018088183,0.00024732102,0.0028308634,0.00037539946,0.00099916265,0.0032644424,0.0023922945,0.0032742906,0.0049465522,0.00087468389,0.0010697458,0.001591011,0.0024108848,0.001193107,0.0025599449,0.0015809671,0.0027628231,0.0025591813,0.0020608032,0.0030150121,0.0011271987,0.0013851237,0.001629604,0.0012055785,0.002262704,0.00066132109,0.0038291931,0.0023212776,0.0044405469,0.0011647554,0.0018465435,0.0032792255,0.0006216262,0.00060483658,0.04914732,0.00032913081,0.0024186882,0.0038320296,0.00073160229,0.0029797324,0.0051301539,0.0007506495,0.0028650569,0.00076361443,0.00040161218,0.0016247384,0.0046928493,0.0026136504,0.00062639644,0.0023199979,0.010545785,0.00055587928,0.00062098786,0.0019162385,0.0046700924,0.0013275066,0.0013312261,0.00017943796,0.00058448698,0.0030835359,0.00058325416,0.0013764072,0.0012480142,0.0010893725,0.0024011897,0.0032734153,0.00049792013,0.00083130931,0.0066428073,0.00067357821,0.00027345084,0.00044495189,0.00059875871,0.00052942981,0.0008501054,0.00059044563,0.00062063395,0.00095298965,6.9636932e-05,0.00072495774,0.00093797351,0.00104482,0.0036809954,0.00070899903,0.0010380454,0.0015533757,0.00042860748,0.0010087628,0.0002292617,0.00031453479,0.0014368967,0.00034734196,0.0016953991,0.00051990459,0.00044116186,0.0030371983,0.0011019099,0.00072838332,0.0007295312,0.0029753316,0.0011471239,0.00073637287,8.1095141e-05,0.00044627005,0.00012873836,0.0018790252,0.0012579138,0.00041436813,0.00067188092,0.00096566188,0.0086125311,0.0033130974,0.00074824956,7.4166878e-05,0.00033412168,4.3984127e-05,7.0968365e-05,0.00066981188,0.00081550865,0.00025164506,0.00054344439,0.00064091868,0.0002139621,0.0015726753
Akesu,0.0512905,0.013232407,0.018891831,0.0060639858,0.015201256,0.016512528,0.026169712,0.0093442201,0.010397778,0.012831723,0.0081941306,0.0073494505,0.0092796255,0.0084627497,0.0035573379,0.0058442663,0.0016916484,0.0042642339,0.0036455364,0.0061592951,0.0042246185,0.0022742205,0.003435613,0.0044463116,0.0037717455,0.41453229,0.0015330192,0.0037656194,0.0014272464,0.0010224237,0.0048727226,0.0010368883,0.0033443261,0.0031160143,0.00096429255,0.0010108141,0.001136582,0.0018761957,0.00090686044,0.0039202186,0.0005616898,0.0010810962,0.00043029337,0.0020850377,0.00017790877,0.0014341505,0.0023477243,0.0013992152,0.0018716418,0.0038501593,0.0026176019,0.0017000024,0.00093448408,0.0022764711,0.00063715206,0.00088664853,0.0028400767,0.002746581,0.00096178696,0.0014755074,0.0044721426,0.00092303329,0.00150856,0.00068891676,0.00092802509,0.0017984566,0.0010630822,0.0011531412,0.0013429823,0.00061469979,0.00052408785,0.0013980174,0.00066573645,0.00068491268,0.00040149861,0.0017828606,0.00095551252,0.0021674843,0.0050616261,0.00074512619,0.00156129,0.005589006,0.0011797938,0.0018040458,0.00033217579,0.0002253144,0.001195783,0.0047787512,0.0015599252,0.00041204402,0.0016407649,0.00082053165,0.00029442093,0.00040326779,0.00074100026,0.00070567641,0.00043880609,0.00099020817,0.00038484153,0.00038637272,0.0014076634,0.00030258158,0.0013338149,0.00088804845,0.00063787524,0.0010070539,0.00044342032,0.00025770499,0.00056669248,0.00059679717,0.00053224091,0.00052167197,0.00079177617,0.00030353443,0.00070763099,0.0004312528,0.00032145505,0.00032984481,0.00061611016,0.018439688,0.00043961111,0.00029515148,0.00037712179,0.00065866731,0.0019786051,0.00063812851,0.0025654674,0.00024555487,0.00045835406,0.00054825467,0.00017610109,0.00057519875,0.00055152218,0.00061010541,0.00019675703,0.00066623068,0.0007120059,0.00054418697,0.00040029286,0.00059440531,0.0012967864,0.0005791706,0.00065652491,0.00021137699,0.00021685504,0.1361844,0.00053361746,0.00062990256,0.0003142101,0.00026955388,0.00074335084,0.002204118,0.0011220622,0.00025882812,0.019614155,0.00020664815,0.00012209275,0.00013974904,0.00032337036,0.00025551776,0.00018557968,0.00024262754,0.00042678568,0.00056814148,0.0013846074
Alaer,0.058843967,0.015948429,0.022241167,0.0071309788,0.017889083,0.019095296,0.030122446,0.010799499,0.012254084,0.014854191,0.0095147014,0.0086721453,0.010889085,0.0096903217,0.0041206541,0.0067748673,0.0020540817,0.0051841445,0.0044010051,0.0070742551,0.0050354935,0.0027455253,0.0040741933,0.0051667856,0.0043690908,0.35839889,0.0017983645,0.0043703057,0.0016640033,0.0012102823,0.0056128498,0.0012424642,0.0037841454,0.0035064391,0.0011609476,0.0012195727,0.0013644587,0.0021743621,0.0010904289,0.0044472477,0.00066621196,0.0013186015,0.00049929474,0.0024465557,0.00019940778,0.0016180937,0.0027585943,0.0016909073,0.0021721783,0.0045280202,0.0030262532,0.0019622637,0.0011256125,0.002641605,0.0007354445,0.0010368062,0.0032916362,0.0031652011,0.0011338601,0.0017190824,0.0051311951,0.0010836857,0.001751503,0.00082136118,0.001072917,0.0020847098,0.0012333042,0.0013544833,0.0016254365,0.00073198185,0.00062382799,0.0016376431,0.00079230828,0.00078214763,0.00048041493,0.0020814872,0.0011145061,0.0025118783,0.0057846904,0.00086215512,0.0018062407,0.006427188,0.0013593093,0.0020884002,0.00040339099,0.00027355654,0.0013879988,0.0054836146,0.0018871477,0.00048150325,0.0018930615,0.00096486985,0.00035733403,0.00047404163,0.00086295234,0.00083959343,0.00051844331,0.0011515296,0.00044803154,0.00046170572,0.0017222122,0.00036494349,0.0015420376,0.0010500972,0.00073839692,0.001167003,0.0005091556,0.00030908518,0.00065577773,0.00069939206,0.00061303514,0.00060380786,0.00091386115,0.00036702615,0.00081567063,0.00051843928,0.00038407723,0.00040142572,0.00070106206,0.015869768,0.00052738943,0.00035141102,0.00044990046,0.00075882428,0.0022935156,0.00073459884,0.0029707148,0.00029777784,0.00053232741,0.00063818343,0.00020723355,0.00068353503,0.00063750055,0.00072353501,0.00023153824,0.00077119402,0.00083830986,0.00063316397,0.00046604225,0.00069117432,0.001522147,0.00068104895,0.00075643001,0.00024655904,0.00025563862,0.12831089,0.0006456138,0.00073176239,0.00037179322,0.00032596155,0.00087344188,0.0025379311,0.0012935092,0.00030758543,0.018406451,0.00024453816,0.00014245451,0.00016196625,0.00038072259,0.00029391282,0.00023047213,0.00028627976,0.00049512537,0.00065694325,0.0015992463
Alashan,0.1505711,0.0153928,0.032863994,0.011902108,0.024339711,0.031811986,0.071629739,0.030928232,0.018865609,0.033253564,0.012007412,0.012618333,0.017930119,0.03413628,0.0058683838,0.016599529,0.0016500584,0.0035025508,0.004106615,0.020616491,0.0059831291,0.0025675449,0.0055875357,0.0098139091,0.0078252036,0.013027597,0.0030557386,0.0060807985,0.0035827368,0.0017068687,0.012493879,0.0012556931,0.021778678,0.037920875,0.0011158721,0.0011527335,0.0014079651,0.0036726551,0.0011019082,0.019051809,0.00086190716,0.00099352779,0.00077154559,0.0039866992,0.001085124,0.0080776085,0.0043746703,0.0015475715,0.0050218581,0.0069142735,0.0038411911,0.0036500087,0.0011006012,0.0053115607,0.0020690541,0.0020419433,0.0051647802,0.0077063417,0.0017955276,0.0033742074,0.011880991,0.0016972753,0.003284598,0.00099598998,0.0025882008,0.0045870162,0.001988596,0.0023605073,0.0014402762,0.00078719312,0.00078428201,0.0027581741,0.00093937833,0.0025567674,0.00053202794,0.0036799221,0.0011994645,0.0053498078,0.016545446,0.0018317859,0.0047194644,0.016194934,0.0026813849,0.0051258957,0.00031548619,0.00022625374,0.0030052601,0.015409221,0.0016868551,0.00089013792,0.0050331982,0.0014558121,0.0002955208,0.00076138349,0.0019007989,0.00095203769,0.0007769283,0.0023534031,0.00058052585,0.00052456872,0.0010446817,0.00034590498,0.0034283425,0.0014551241,0.0018439781,0.0029793476,0.0017304601,0.00033035348,0.0015936373,0.0011966164,0.0016671932,0.00095042799,0.0016006948,0.00032822206,0.0017192272,0.00052599218,0.00044327134,0.00031132818,0.0035282192,0.00033528829,0.00055871215,0.0004337685,0.00053409768,0.002388998,0.0028591607,0.002196921,0.0049692623,0.00025316652,0.001253382,0.0007871357,0.00033204746,0.00089266905,0.0011412879,0.00099053317,0.00038364749,0.0013593705,0.0013598569,0.0013929174,0.00098929728,0.0013795303,0.0026709789,0.0011262948,0.0019429972,0.00027943151,0.00039965496,0.00050339499,0.00044454942,0.0016855327,0.00050124905,0.00028055796,0.0013645278,0.0083290466,0.0040430711,0.00040025731,0.0003566444,0.0003413109,0.0001557083,0.0002427536,0.00061417202,0.0010036058,0.00010537758,0.00044036536,0.0011192954,0.00088858953,0.0038020484
Aletai,0.038416775,0.0059599569,0.011117215,0.0032871911,0.0066594666,0.012741477,0.018997361,0.0052849244,0.0049518189,0.0085595433,0.0066293455,0.0041392422,0.0054628577,0.0058141096,0.0028440787,0.003565647,0.00068515362,0.0015575905,0.0016148428,0.0042940848,0.0021813748,0.0010191011,0.0017146321,0.0029750782,0.0027454028,0.67548016,0.00088696978,0.002951728,0.00077631565,0.00053761374,0.0035801683,0.00043707981,0.0019382861,0.00215128,0.00041397837,0.00045319884,0.00050430012,0.001389519,0.000428421,0.0030325293,0.00030556956,0.00043700216,0.00032383597,0.0012379846,0.00010097311,0.0011685116,0.001373878,0.00061920116,0.0011513139,0.0022685032,0.0022445196,0.0012948408,0.00042705714,0.0015232031,0.00040053701,0.00048423302,0.002166289,0.0019293439,0.00049791962,0.00091718833,0.0034641902,0.00055586297,0.0010326097,0.00032855174,0.00061252036,0.0011752271,0.00078844088,0.00059852892,0.00058420643,0.00025672173,0.00025595398,0.00084442503,0.00029362535,0.00051114395,0.00019929438,0.00083767618,0.00077307618,0.001448345,0.0039004579,0.00051422987,0.0009665976,0.0040366451,0.00090545917,0.0011440114,0.00013157436,9.4391661e-05,0.00076500987,0.0034436747,0.00068526722,0.00024741457,0.0010800668,0.00037565891,0.00012236957,0.00023132665,0.00042225838,0.0003015029,0.00021943306,0.00062705324,0.00029622395,0.00019389206,0.00049976485,0.00013358455,0.0009165539,0.0004935382,0.00040004148,0.00059854402,0.00024344637,0.00012004972,0.00036468692,0.00028435669,0.00036009389,0.00040583541,0.00061690722,0.00013005502,0.00052483309,0.00019574482,0.00015630808,0.0001331114,0.00042206143,0.022989844,0.00020980428,0.00013685809,0.00017481595,0.0003672104,0.0016479927,0.00041543046,0.0019341463,0.00010456018,0.00027164019,0.00043182718,9.7829793e-05,0.00028037803,0.00041679136,0.00029852898,0.00010347137,0.00049445814,0.00035276045,0.0003224145,0.00023985345,0.0003825324,0.00070888608,0.00031871976,0.00045281209,0.0001673004,0.00011633521,0.012133324,0.00019353506,0.00037776884,0.00017557613,0.00011046587,0.00044013445,0.0012767083,0.00066776021,0.00012367983,0.027229589,0.00011150183,9.7699989e-05,0.00010858511,0.00017509381,0.00015215438,6.0450888e-05,0.00012763477,0.00026950961,0.00047511484,0.00094035283
Ali,0.083909137,0.040216543,0.041343153,0.014586496,0.045199437,0.02569018,0.044377233,0.020795767,0.028704687,0.024058402,0.011727805,0.016977022,0.020279642,0.015241697,0.0052332164,0.01212718,0.0058374978,0.016550758,0.011306862,0.010946303,0.010877219,0.006960809,0.0091488284,0.0083020802,0.006332478,0.12096896,0.0034183756,0.0056644707,0.0033690855,0.0025641832,0.0081368425,0.0033605934,0.0067882249,0.0053902853,0.0030887883,0.0030905894,0.0034983619,0.0030743958,0.0026043735,0.0061849569,0.0013554627,0.003750551,0.00068731102,0.0045100055,0.00035161848,0.0021386996,0.0051705348,0.0043476084,0.0038549145,0.0084113357,0.0035004855,0.0027031719,0.0027919375,0.004252272,0.0012730268,0.0020968895,0.0044649457,0.0048423029,0.0024402954,0.0030129682,0.007021809,0.0019625262,0.0027380183,0.0019418563,0.0017606396,0.0034557221,0.001734415,0.0028988211,0.0042602281,0.0019819613,0.0014361912,0.0029604173,0.0020303205,0.0011259102,0.0010852851,0.0048459877,0.0013381461,0.0040559997,0.0080240812,0.0013410202,0.0031806885,0.0095396547,0.001863449,0.0035835993,0.0011757623,0.00074797814,0.0023567172,0.0081787546,0.0048907221,0.00087761796,0.0031178011,0.0023374935,0.00098606844,0.00090959986,0.0016644168,0.0022199292,0.0011591879,0.0019766626,0.00058822019,0.0010303035,0.0056959356,0.00094132619,0.0024136211,0.0020863821,0.0012825099,0.0021466749,0.00099376314,0.00075078695,0.0011070662,0.0016213819,0.00097971572,0.00080039821,0.0012208819,0.0009789434,0.0011670271,0.0012963298,0.00088886725,0.0011450842,0.0011022503,0.004023885,0.0012459519,0.00085557515,0.001097133,0.0014722927,0.0027303321,0.0012241374,0.0041090262,0.0007993588,0.00098359707,0.00080915798,0.0004125294,0.0015760783,0.0008839237,0.0016596857,0.00048954991,0.001091088,0.001885847,0.0011713159,0.00085173262,0.0011640534,0.0030830481,0.0013701589,0.0011825464,0.00030665084,0.00052933298,0.013338609,0.0020669911,0.0013352968,0.00073345781,0.00091392862,0.0016139718,0.0047500374,0.0023636842,0.00072450617,0.0044214615,0.0005029787,0.00017376411,0.00021393557,0.00078003232,0.00053516997,0.00084430618,0.00060585606,0.00085342296,0.00078776103,0.0025406549
Ankang,0.026623718,0.0096688854,0.020605007,0.021425279,0.019013952,0.0099562322,0.015833271,0.31918617,0.10308564,0.010901108,0.0030227736,0.016604134,0.014389797,0.009147019,0.00082432432,0.033805464,0.0022904976,0.0033881456,0.0026611349,0.0057956573,0.0042099556,0.001656171,0.0066882114,0.0029683243,0.0032808508,0.00072590427,0.0030342447,0.0017596363,0.068833919,0.0018763267,0.0025804156,0.0014190284,0.0013436459,0.0010796459,0.0019846421,0.00074732085,0.00084978749,0.0014000216,0.0015031569,0.0015202969,0.0010623691,0.00044477396,0.00011914188,0.0029332489,6.6698525e-05,0.00086781242,0.0033378273,0.0010191563,0.0083734132,0.0046922958,0.00076326964,0.00063269154,0.0016099153,0.0037397275,0.0010211677,0.0084990434,0.0017016609,0.0019012399,0.0066318634,0.0018992022,0.0034286053,0.0017314953,0.0019412813,0.00096525804,0.00094623102,0.0018644862,0.00074842068,0.0036044293,0.00084653119,0.00064263984,0.0017349021,0.0017089605,0.0024003915,0.00077141729,0.00031380542,0.004170081,0.00029494872,0.0017626131,0.0044207897,0.0010795124,0.0085342085,0.0037134405,0.00044877736,0.0065186887,0.00013503414,0.00010337759,0.0012820861,0.0065700262,0.0023345876,0.00061130423,0.0019852624,0.0021156393,0.00014924183,0.00062324886,0.003495655,0.0018460448,0.0009677397,0.0010725769,0.0001791924,0.00071823375,0.00045677213,0.00054199399,0.000868145,0.0010975879,0.0011964853,0.010182045,0.00067074237,0.00026685434,0.00074095254,0.0047312656,0.0011815642,0.00015215157,0.00047755756,0.0001634811,0.00033028337,0.0008793951,0.00075501777,0.00040962702,0.0012191643,9.2643252e-06,0.00027921345,0.00029113809,0.0013217223,0.0022619602,0.00063941467,0.00080995487,0.00080904717,0.00012544116,0.0013616842,9.2850961e-05,0.0002850548,0.00089751707,0.00039524761,0.0030707423,0.00081229571,0.00051531202,0.0097158861,0.0014023951,0.0019045775,0.00058106193,0.0050832228,0.0025661143,0.00053641681,7.5395675e-05,0.00059634255,3.6525334e-05,0.00037122621,0.0016235887,0.00024306137,0.00042966215,0.00095156983,0.030441364,0.0072738248,0.00025152647,9.122351e-06,0.00030540969,4.0019907e-05,3.7869263e-05,0.00099011521,0.0026952888,7.6164131e-05,0.0011844405,0.0013665391,9.3554233e-05,0.0010313651
Anqing,0.021081477,0.0137007,0.088297404,0.047214734,0.0015404794,0.0094454898,0.016094143,0.006569937,0.0087885413,0.019544474,0.0027049974,0.16391477,0.1184073,0.0023055636,0.00073425768,0.016951661,0.0012686066,0.00088222295,0.0037895265,0.00322506,0.013921587,0.0024089552,0.010376615,0.0066912123,0.0037556992,0.00019054018,0.055603928,0.0017111975,0.0025822068,0.019464927,0.002595282,0.00030363385,0.00014896199,0.00017840742,0.0010822585,0.0010509527,0.00093408014,0.0015533829,0.0029928908,0.00042175262,0.0056573752,0.00045853825,0.00010705523,0.01931487,8.9933554e-06,0.00026375509,0.021745599,0.0014254062,0.0073675743,0.02235433,0.00056848832,0.00059804584,0.0024140142,0.0056468496,0.00046693943,0.0014393843,0.0017471753,0.0023123271,0.0071180531,0.0072291341,0.0023320376,0.0082404572,0.0028892877,0.0014655387,0.0011342841,0.0038152187,0.00084927238,0.0017586542,0.0011574464,8.1912156e-05,0.003096504,0.0099000231,0.00044616323,0.00033828561,0.00088598244,0.00019368124,0.00026793759,0.0031722274,0.0023097961,0.0012455529,0.0033626846,0.0031361398,0.00037769138,0.0048355234,7.8375537e-05,0.00011642543,0.0028410392,0.0037514413,0.0027410248,0.0044558353,0.0012410809,0.00013061167,0.00014068499,0.012800498,0.0010489258,0.00028028868,0.00051183218,0.0034342771,0.0001885069,0.0022963326,0.00014041188,0.00055135035,0.0012648584,0.0052240864,0.00074665214,0.0020720979,4.8416698e-05,0.00048834547,0.00064587138,0.0002600433,0.0007080957,0.00013838536,0.00042213816,0.00019155477,0.00032458402,0.0010480813,0.0018291617,0.0002576099,0.00021812939,2.217605e-06,0.0006943969,0.00027318518,0.00084591491,0.0001150453,0.00052289531,0.00034476682,0.0007415355,0.00016611267,0.00060718442,7.98841e-05,0,0.001401218,0.00038585705,0.0024366137,0.00064477498,0.000549051,0.0011427102,0.0011322189,0.0027935307,0.0014335406,0.0067892816,0.055357752,0.0005490269,7.3138385e-05,0.0044412424,1.0107016e-05,7.9356712e-05,0.0010470133,0.00093493622,0.00019374619,0.0049886016,0.0011841063,0.00032051541,0.00033378304,2.2532015e-06,0.0021255299,3.75657e-05,3.4049893e-05,0.0042197389,0.00015375408,2.5620925e-05,0.0048795489,0.0016135555,7.9411122e-05,0.0016106307
Anshan,0.043622018,0.00099165038,0.010662712,0.00096708626,0.0002685342,0.24397536,0.03177176,0.00055334495,0.0004203843,0.0099897596,0.012382507,0.0025899374,0.0041870702,0.0015978591,0.010354508,0.0011814618,5.8749596e-05,6.0864184e-05,0.00024620003,0.0023045879,0.00085710696,0.00017320946,0.00034846062,0.0081723532,0.10709892,6.3735668e-05,0.00051175376,0.013143947,0.00011470234,0.00017745282,0.0096506523,3.0018492e-05,5.5695689e-05,9.9917229e-05,4.1613889e-05,7.5536234e-05,6.0389167e-05,0,0.00010173347,0.00059770101,0.00016701476,4.3730982e-05,0.0081731767,0.0010753263,1.6630662e-06,0.00014704407,0.0010762733,9.7639981e-05,0.00049758382,0.0020840818,0.0020042349,0.018128124,7.9534306e-05,0.0031335986,0.00011500235,9.6430209e-05,0.047016061,0.0023663182,0.00010215268,0.00078943272,0.0058283097,0.00062187815,0.0045618776,5.6506976e-05,0.00046147599,0.0011735569,0.077889805,9.6133519e-05,8.3672726e-05,1.2355645e-05,5.1625551e-05,0.00082597907,2.1493206e-05,0.00021487203,6.224896e-05,3.7711981e-05,0.0007862036,0.0021934218,0.0024930401,0.0011744518,0.00030274817,0.0047924428,0.0055745281,0.00054973798,9.3502154e-06,1.0878902e-05,0.0006417574,0.0024360275,0.0001054566,0.00017095936,0.00054945131,2.0208246e-05,1.2953382e-05,0.00014097178,9.5917986e-05,1.6680442e-05,3.5640597e-05,0.00058251275,0.00099707586,6.3811443e-05,1.9498616e-05,1.8950028e-05,0.0015293249,0.00029626852,0.00016264293,0.00013623273,1.2471707e-05,2.2175376e-05,0.00020918068,1.7456492e-05,0.0002083044,0.0045896717,0.0066404562,1.5575852e-05,0.0022496435,3.1268161e-05,3.7033686e-05,1.2082108e-05,5.1801139e-05,1.8716244e-06,4.9892797e-05,1.6338297e-05,2.3242146e-05,2.6505301e-05,0.0020831437,0.00013083362,0.18561017,1.3323128e-05,7.5981014e-05,0.00093654174,4.2016553e-05,5.015386e-05,0.013936098,4.8993299e-05,2.220809e-05,0.052507196,4.1122571e-05,0.0001103259,0.00010383629,0.00047878578,0.00019844141,0.00011343795,0.00037951867,0.00023814065,3.6499888e-05,3.275013e-06,6.1450491e-06,0.00012764915,0.00011575,8.8719271e-06,0.00040793108,0.00012130168,9.0478747e-05,1.7953107e-05,2.2109981e-06,4.9154849e-05,0.000112711,0.00092990629,5.5928282e-05,1.6863442e-05,1.9620829e-06,3.371912e-05,0.00016620216,0.00069434023,0.00099158038
Anshun,0.019959831,0.084094839,0.026427851,0.016451183,0.050359024,0.0054086711,0.012089788,0.012268955,0.070658811,0.0093962537,0.0018889993,0.013574066,0.013840555,0.0045734893,0.00092213038,0.0067879254,0.031575724,0.068529169,0.025374465,0.0033508065,0.011239317,0.013076915,0.01751103,0.003209951,0.0017073951,0.00074857603,0.002599907,0.0010690494,0.0032467921,0.0031481758,0.002125079,0.12941356,0.0012288198,0.00089597747,0.021472966,0.0061444001,0.016398219,0.00076478366,0.0036225338,0.0011454261,0.0011564765,0.0093933105,0.00015724514,0.002928575,3.8344238e-05,0.00031807141,0.0035727209,0.0087485644,0.0021351689,0.0054692164,0.00045606276,0.00060839681,0.0050343602,0.0016492648,0.00058824106,0.0021849128,0.00097145776,0.0015040369,0.0037933461,0.0016299129,0.0014801822,0.0011617965,0.00095860139,0.0049020143,0.00071019507,0.0014796606,0.00042518844,0.0043193634,0.009291158,0.0084845552,0.0029274093,0.0017879838,0.016761233,0.00025727232,0.0012838225,0.0039369118,0.00019898558,0.0015796793,0.0016765283,0.00045505973,0.0016230444,0.0026300114,0.00040843512,0.0017037706,0.011357551,0.0020154569,0.001110543,0.0022233661,0.009617112,0.0005602008,0.0012349575,0.0037000402,0.003261718,0.00070612459,0.0013218235,0.012544984,0.0023840127,0.00098050235,0.00011587934,0.0011933324,0.016955647,0.0025188094,0.00083129025,0.0017117353,0.00063483362,0.0012975917,0.00037957126,0.0015931177,0.0004961757,0.0021859405,0.00034503693,0.00016123727,0.00024969655,0.0032054694,0.00029404227,0.0032095108,0.0014676441,0.0042332142,0.00027781818,2.1410678e-05,0.0018660415,0.0037138916,0.0041944502,0.00071710024,0.00039255118,0.00048171441,0.00094968405,0.0019191794,0.00063471358,0.00014280523,0.00038816629,0.0036246965,0.00020447362,0.0039772546,0.00068210956,0.00027104923,0.0038792964,0.00078258759,0.00054556374,0.00053635511,0.0033234752,0.0013932896,0.00039141984,5.093661e-05,0.0006212294,4.301616e-05,0.0035697803,0.00082797388,0.00056485603,0.010430144,0.0010385213,0.0022795162,0.0011776947,0.0021692383,2.3490757e-05,0.00050287432,2.7156821e-05,4.276599e-05,0.00087341249,0.00024095677,0.00075972335,0.0008163324,0.00042310924,0.00011512411,0.00091092043
