,Beijing,Guangzhou,Shanghai,Wuhan,Chengdu,Shenyang,Tianjin,Xian,Chongqing,Jinan,Haerbin,Hangzhou,Nanjing,Taiyuan,Changchun,Zhengzhou,Nanning,Kunming,Foshan,Shijiazhuang,Fuzhou,Shenzhen,Changsha,Qingdao,Dalian,Wulumuqi,Hefei,Jilin,Shiyan,Nanchang,Tangshan,Guiyang,Lanzhou,Yinchuan,Liuzhou,Dongguan,Guilin,Anshan,Shantou,Huhehaote,Wenzhou,Zhanjiang,Benxi,Zhenjiang,Xining,Baotou,Changzhou,Zhongshan,Kaifeng,Suuzhou,Qiqihaer,Jinzhou,Huizhou,Weifang,Jincheng,Xiangfan,Fushun,Cangzhou,Jingzhou,Xuzhou,Chengde,Nantong,Yantai,Hengyang,Liaocheng,Taian,Dandong,Yichang,Jiangmen,Yibin,Zhuzhou,Yangzhou,Zunyi,Datong,Xiamen,Mianyang,Jiamusi,Zibo,Zhangjiakou,Dongying,Jiaozuo,Langfang,Chaoyang,Anyang,Baise,Maoming,Jining,Baoding,Zhuhai,Bengbu,Handan,Suining,Yulin,Wuhu,Nanyang,Luzhou,Changde,Zaozhuang,Yanbian,Quanzhou,Yuxi,Zhaoqing,Binnzhou,Jinhua,Xinxiang,Luoyang,Tianshui,Shaoguan,Puyang,Nanchong,Xingtai,Tieling,Fuxin,Wuzhou,Qinhuangdao,Qingyuan,Ganzhou,Qinzhou,Yuulin,Shihezi,Meizhou,Huaihua,Shaoyang,Baoji,Suihua,Changzhi,Liaoyang,Yangjiang,Pingdingshan,Mudanjiang,Anqing,Xiangtan,Panjin,Yiyang,Qianjiang,Yingkou,Enshi,Luohe,Zhoukou,Linyi,Xiaogan,Huanggang,Hengshui,Jixi,Huangshi,Yili,Panzhihua,Xuchang,Taiizhou,Hechi,Wuxi,Xianyang,Weinan,Loudi,Kelamayi,Shangrao,Shuangyashan,Liaoyuan,Ezhou,Tongchuan,Xishuangbanna,Xianning,Heze,Daqing,Dezhou
Aba,15.070342,10.301319,8.7562582,5.4441302,125.642,2.9895257,8.3620392,14.998005,23.670166,5.7223992,1.0435784,3.948617,4.9044162,4.7617917,0.55415536,4.4670447,1.7967307,4.8429562,2.7527691,2.7523675,2.3875127,1.6061872,3.4890819,1.4880866,0.74211574,1.0757545,0.86303408,0.51504201,1.746002,0.78735241,1.3819552,1.7522125,5.425308,2.1454316,1.026573,0.78268061,1.136631,0.39024267,0.59505793,1.1938697,0.28544218,0.85651108,0.060660691,1.0746861,0.12943309,0.42062255,1.1501735,0.97412246,1.1776526,1.8313863,0.29384658,0.36524122,0.72284703,0.87821823,0.51629133,1.0421485,0.51615274,1.0018585,1.0398402,0.82258679,1.0134627,0.45542665,0.51080402,0.70952057,0.44313301,0.86535552,0.18413113,1.2774365,0.9624397,1.6484945,0.50126197,0.64415513,1.2196603,0.21636699,0.23175704,18.573556,0.10708016,0.93225838,1.4497326,0.26359825,1.2236957,1.970846,0.26523494,1.2232546,0.33352508,0.17509734,0.61392762,1.831695,0.97482521,0.22930044,0.99899127,3.3949987,0.25844143,0.23077183,0.7805232,1.6892823,0.47884193,0.49325023,0.057155536,0.25341542,1.2426633,0.25243527,0.51615389,0.45403344,0.41944933,0.98023278,1.3042107,0.19406539,0.31587593,2.5424667,0.27591083,0.092740772,0.11800832,0.2918273,0.17935407,0.34933624,0.24281337,0.2700419,0.35614722,0.028818906,0.30339604,0.39885793,0.43428002,1.1661119,0.20354451,0.37744522,0.48337723,0.18428808,0.39817006,0.074441939,0.10978575,0.56898139,0.11338259,0.66054839,0.16505085,0.12964185,1.1289827,0.3741553,0.26549311,0.281291,1.2445616,0.4700034,0.29168502,0.027594312,0.16269274,0.05062786,0.73312939,0.53729776,0.16301609,0.2991198,0.39166569,3.4681033,1.3017248,0.32826186,0.032346205,0.13670005,0.014517226,0.022579078,0.29252858,0.27017555,0.075315733,0.19469565,0.25540116,0.072334702,0.63499587
Akesu,17.020698,5.2246474,6.4276745,2.2492009,5.0233636,4.8440522,8.7127411,3.2836538,3.6472468,4.4385626,2.4041682,2.4941849,3.1203741,3.1896581,1.1229208,2.0857718,0.7805765,1.5672886,1.3895339,2.1662086,1.4846799,0.86409612,1.3144281,1.3383804,0.94097824,158.69146,0.48687009,1.0000882,0.44036462,0.38144241,1.5665954,0.40516691,1.340631,1.3077974,0.36929428,0.40962567,0.41833916,0.5476843,0.3482063,1.2854356,0.18876655,0.46444566,0.095758472,0.71814791,0.055652114,0.54782287,0.75050239,0.51690952,0.61080429,1.2932678,0.79783276,0.52660187,0.38520678,0.75241575,0.25015326,0.32749369,0.8412327,0.90375184,0.35456545,0.53436388,1.3640125,0.33834921,0.50476253,0.27214439,0.30950955,0.62407778,0.26857263,0.34905729,0.50520305,0.20705715,0.20465181,0.44247975,0.22466354,0.21631771,0.13957765,0.6113039,0.28204359,0.7579809,1.7373349,0.24359378,0.58170101,1.9479791,0.37821137,0.69884669,0.13163883,0.089123781,0.40994771,1.6923064,0.52797285,0.13685814,0.64101242,0.23967112,0.12419429,0.13596143,0.27385177,0.23160342,0.14361324,0.33290018,0.11121598,0.15198773,0.5146982,0.1188202,0.45382072,0.29310599,0.22285159,0.37299796,0.16029557,0.091116973,0.19537397,0.20723967,0.19781063,0.16051825,0.19055415,0.13423272,0.21752793,0.16079763,0.11994556,0.13021459,0.20891128,6.9237104,0.16692123,0.11387826,0.14222069,0.18932335,0.5153541,0.2105658,0.72428025,0.095791258,0.16414999,0.16151201,0.055770912,0.20665655,0.16332963,0.2156693,0.056671351,0.1776288,0.24012616,0.16765734,0.13238099,0.20794372,0.49214392,0.21530036,0.23595825,0.065256028,0.071728056,48.590533,0.18889598,0.24410697,0.11216006,0.10888161,0.27353614,0.80526153,0.39999325,0.10302149,7.7612747,0.076708899,0.036561144,0.04033953,0.12813179,0.076801688,0.050392079,0.078870962,0.15430555,0.17426115,0.50723974
Alaer,3.9095707,1.2607606,1.515067,0.529558,1.1835834,1.1215532,2.0078669,0.75982522,0.86059636,1.0287299,0.55892674,0.58924661,0.73310219,0.73125027,0.26042759,0.4840957,0.18976326,0.38148494,0.33585881,0.49813242,0.3543105,0.20885883,0.31208135,0.31138508,0.21823772,27.469847,0.11435092,0.23238687,0.10279409,0.090402298,0.36129495,0.097202433,0.3037105,0.29464452,0.089015642,0.098950838,0.10054923,0.12708138,0.083827619,0.29196226,0.04482711,0.11341624,0.022246993,0.16871408,0.012488801,0.12374934,0.17655991,0.1250684,0.14192893,0.30451896,0.18467623,0.12169882,0.092898057,0.17480705,0.057810423,0.076673113,0.19520724,0.20852182,0.08368938,0.12464838,0.3133394,0.079533037,0.11733598,0.064961933,0.071643332,0.1448366,0.062382772,0.082089282,0.1224223,0.04936555,0.048771752,0.10377596,0.053532614,0.049458742,0.033438204,0.14289263,0.065865688,0.17587191,0.39753244,0.056430872,0.13473697,0.44850822,0.087245636,0.16197294,0.032006185,0.021664213,0.095270966,0.38880068,0.12788244,0.03202007,0.1480737,0.056426863,0.030178529,0.031998923,0.06385248,0.055170169,0.033971837,0.077509851,0.025923394,0.03636332,0.12607639,0.028692387,0.1050462,0.069391395,0.051649302,0.086540569,0.036850867,0.021879898,0.045265886,0.048625188,0.045616205,0.037198195,0.044035027,0.032496492,0.050201759,0.038702258,0.028693064,0.031728231,0.047594452,1.1930275,0.040092908,0.027145781,0.033969605,0.043669428,0.11960435,0.048531517,0.16791904,0.023257123,0.038169182,0.037641386,0.013140225,0.049168319,0.037799048,0.051207952,0.013352204,0.04116718,0.056605006,0.039055918,0.030858004,0.048411028,0.11565811,0.050688723,0.054431015,0.015239867,0.016929352,9.1661064,0.045757126,0.056776827,0.026571386,0.026361205,0.064350414,0.185643,0.092321323,0.024511693,1.4582363,0.018174218,0.0085408902,0.0093605957,0.030203636,0.017687527,0.012529966,0.018632175,0.035841053,0.040343113,0.11729969
Alashan,33.940249,4.1292022,7.5960539,2.999312,5.4646076,6.3404673,16.199607,7.3841355,4.4959091,7.8148882,2.3935516,2.9094198,4.0961958,8.7415195,1.2585455,4.0248195,0.51727316,0.87460269,1.0634827,4.9262259,1.4285911,0.66279997,1.4523761,2.0070238,1.3264312,3.3883358,0.65933617,1.0972117,0.75110385,0.43264159,2.7288455,0.33335629,5.9313629,10.812825,0.29032208,0.31737014,0.35206848,0.72838608,0.28745317,4.2442715,0.19681619,0.28998415,0.11665932,0.93289839,0.2306103,2.0963364,0.95012111,0.38842874,1.1134594,1.5778976,0.79543704,0.76816422,0.30823117,1.1927201,0.55189168,0.51241695,1.0393748,1.7227209,0.44970924,0.83021042,2.4618599,0.42268736,0.74666459,0.26730562,0.58645863,1.0813954,0.34133077,0.48548558,0.36809558,0.18015762,0.20806694,0.59310306,0.21537585,0.54863566,0.12565487,0.85724857,0.24054557,1.2710723,3.8584531,0.40684753,1.1946371,3.8351368,0.58401696,1.3490685,0.084940544,0.060800677,0.69997905,3.7073981,0.38789525,0.20086659,1.3359465,0.28890621,0.084690944,0.17440391,0.4772622,0.21229129,0.17275669,0.53753713,0.11398247,0.14019579,0.25951223,0.092285562,0.79251953,0.32623827,0.43768583,0.74971179,0.42499417,0.079348586,0.37328267,0.28230755,0.42095939,0.19868413,0.26174714,0.09861097,0.35905902,0.13323717,0.11237346,0.083497171,0.81281542,0.085532252,0.14412846,0.11370239,0.13684205,0.46654258,0.5059648,0.49250658,0.953168,0.067087378,0.30496228,0.15754466,0.071447513,0.21788996,0.22963092,0.23788912,0.075073803,0.2462399,0.31158087,0.29155832,0.22227996,0.32787531,0.68869008,0.28445616,0.47443865,0.058609765,0.089810091,0.12202977,0.1069122,0.44378273,0.12155869,0.076990388,0.34113511,2.0674369,0.97922231,0.10823558,0.095879523,0.086079036,0.031678911,0.047606891,0.16533977,0.20495268,0.019440862,0.097256059,0.27493792,0.18517321,0.9463111
Aletai,1.2355885,0.22806181,0.36656958,0.11816717,0.21327958,0.36224104,0.61299594,0.17999041,0.16834123,0.28695053,0.18850232,0.13613948,0.1780235,0.21237958,0.087006912,0.12333048,0.030642411,0.055483995,0.059652129,0.14636493,0.074296389,0.037525577,0.063578598,0.086787823,0.066375692,25.061705,0.027299861,0.075973162,0.023212755,0.019438478,0.11155665,0.016553052,0.075307832,0.087510614,0.015365751,0.017799019,0.017989863,0.039309624,0.015943121,0.096367521,0.0099524698,0.018195758,0.006983795,0.041324166,0.0030611355,0.043260557,0.042561255,0.022168949,0.036413712,0.073848534,0.066300472,0.038872389,0.017060954,0.048792076,0.015240962,0.017334234,0.062185123,0.061528432,0.017790215,0.032192312,0.10240383,0.019747081,0.033485169,0.012579157,0.019798333,0.039524193,0.019303612,0.017558283,0.021298911,0.0083807785,0.0096869754,0.025901624,0.0096033793,0.015645495,0.0067145957,0.027835991,0.022115156,0.049087323,0.12974438,0.016292623,0.0349022,0.13634726,0.028131345,0.042950484,0.0050535635,0.0036186106,0.02541764,0.11819002,0.022478233,0.0079641464,0.040895826,0.010634067,0.0050029014,0.0075585074,0.015124471,0.0095900515,0.0069601105,0.020431086,0.0082963545,0.0073918971,0.01771023,0.0050840154,0.030223015,0.015787619,0.013545151,0.021485699,0.0085295059,0.0041135961,0.012185304,0.0095699491,0.012970891,0.012102194,0.014388026,0.0055745153,0.015635945,0.0070738265,0.0056525932,0.0050930112,0.01386972,0.83661003,0.0077207762,0.0051177858,0.0063895986,0.010228733,0.041598905,0.013285904,0.052918628,0.0039533354,0.0094282859,0.012328707,0.0030026514,0.0097628817,0.011961823,0.01022749,0.0028882043,0.012775975,0.011529957,0.0096265523,0.0076875661,0.012969834,0.026073218,0.011482707,0.015772758,0.0050054885,0.0037292607,0.41955324,0.0066396374,0.014188421,0.0060741233,0.0043247008,0.015696225,0.045204902,0.023069984,0.0047712064,1.0442544,0.0040114004,0.0028353772,0.0030376545,0.006724067,0.0044320296,0.0015906878,0.0040209857,0.009443782,0.014123097,0.033386898
Ali,0.49767961,0.28383722,0.25142863,0.096707737,0.2669882,0.13471447,0.26407366,0.13062718,0.17997629,0.14875289,0.061507526,0.10298698,0.12189404,0.10268643,0.029528328,0.077362644,0.048145428,0.10873217,0.077037251,0.068814164,0.068329745,0.047276062,0.062565608,0.044669776,0.028240357,0.82776858,0.019405702,0.026891199,0.018581684,0.017099724,0.046759175,0.02347188,0.048639324,0.040437307,0.021143395,0.02238717,0.023015292,0.016042103,0.017874622,0.036250757,0.0081427764,0.028800402,0.002734166,0.027766475,0.001966047,0.014602642,0.029545422,0.02870981,0.022487215,0.05050327,0.019071518,0.014967581,0.020571682,0.025122053,0.0089337902,0.013844134,0.023640338,0.028479816,0.016080362,0.01950419,0.03828093,0.012859014,0.016375735,0.013711429,0.010495993,0.021434403,0.0078324601,0.015685164,0.028646216,0.011933518,0.010024281,0.016748603,0.012247064,0.0063563122,0.0067439344,0.029700709,0.0070604187,0.02535383,0.049231563,0.0078362686,0.021182673,0.05943497,0.010678141,0.024813843,0.0083284802,0.0052883773,0.014441951,0.051771793,0.029588315,0.0052104194,0.021772341,0.012204381,0.0074347847,0.005481769,0.010995011,0.013023358,0.0067813849,0.011878363,0.0030386086,0.0072445664,0.037226671,0.0066073122,0.014679265,0.012308064,0.0080089956,0.014212052,0.0064212207,0.0047448072,0.0068223359,0.010063997,0.006508369,0.0044022583,0.0052522821,0.007737991,0.0064124845,0.0086394272,0.005928426,0.008080013,0.0066807934,0.027006665,0.0084562809,0.0059004027,0.0073956152,0.0075645198,0.01271203,0.0072200129,0.020736386,0.0055734461,0.0062964266,0.0042609365,0.0023353279,0.010121444,0.0046791834,0.010486911,0.0025204333,0.0051999572,0.01136844,0.0064504466,0.0050348972,0.0072789829,0.020914532,0.0091043579,0.0075969249,0.0016922152,0.0031295811,0.085071174,0.013078724,0.0092496298,0.004679809,0.0065984916,0.010616036,0.03102035,0.015061629,0.0051545204,0.031272953,0.0033373829,0.00093011507,0.0011038501,0.0055247111,0.002875384,0.0040981346,0.0035203564,0.005515337,0.004319049,0.016636934
Ankang,11.453922,4.9491625,9.0886505,10.302029,8.1454737,3.7864304,6.8343017,145.41021,46.876454,4.8884214,1.1497689,7.3050959,6.2727508,4.4687765,0.33733573,15.640825,1.3701323,1.6143726,1.3148773,2.6424711,1.9181143,0.81573185,3.3172092,1.1584311,1.0613438,0.36025501,1.2492931,0.6058602,27.539295,0.90745018,1.0757612,0.71883623,0.69826002,0.58742499,0.98530373,0.39262075,0.40550233,0.5298292,0.74822618,0.64630028,0.46299569,0.24767635,0.034379293,1.3097604,0.027047013,0.42979814,1.3834058,0.48809735,3.543102,2.043286,0.30159949,0.25406881,0.86035382,1.6026001,0.51974445,4.0696426,0.65341982,0.81121559,3.1694803,0.89168284,1.3559259,0.82281721,0.84215153,0.49430702,0.40917109,0.83884751,0.24517556,1.4146608,0.41284615,0.28065904,0.8783404,0.70124925,1.0501874,0.31592545,0.14142436,1.8536606,0.11286721,0.79909492,1.9671349,0.4575601,4.1216203,1.6778336,0.18650287,3.2736278,0.069374057,0.053005642,0.56980494,3.0163387,1.0247605,0.26325641,1.0054416,0.8011895,0.081608627,0.27239066,1.6748632,0.78549033,0.41063452,0.46751108,0.06713665,0.36627681,0.21651354,0.27591352,0.38294882,0.46961066,0.54196707,4.8891369,0.31433664,0.12228843,0.33119068,2.1298772,0.56931248,0.06069399,0.14905296,0.093727835,0.13165817,0.42511962,0.36525157,0.20963803,0.53596589,0.0045095657,0.13743757,0.14562693,0.64618903,0.84296158,0.21590947,0.34661504,0.29610898,0.063435516,0.63222742,0.035460961,0.11704511,0.4180497,0.1517318,1.4072479,0.30331582,0.17812329,4.247797,0.56018706,0.81657417,0.26353109,2.5009154,1.2366678,0.24994855,0.030175285,0.2557151,0.016895203,0.1703567,0.81565328,0.11249456,0.22498943,0.45393443,14.417905,3.361662,0.12977877,0.0046795848,0.14697123,0.015536587,0.014171724,0.50857461,1.0502422,0.02681226,0.49921431,0.64052824,0.037200014,0.4898313
Anqing,29.683775,22.954847,127.48596,74.307039,2.1601107,11.758576,22.734727,9.7965711,13.080468,28.685825,3.3678948,236.05278,168.96471,3.6874619,0.98354573,25.67048,2.4833261,1.3757551,6.1294674,4.8126718,20.760235,3.8842468,16.844412,8.5465085,3.9758944,0.30949971,74.934493,1.9285735,3.3803103,30.813739,3.5399871,0.50335748,0.25334158,0.31767561,1.7584809,1.8071931,1.4586002,1.9242556,4.8759047,0.58677898,8.0659565,0.83581598,0.10110012,28.229979,0.011937531,0.42742763,29.499314,2.2346297,10.201468,31.863525,0.73528039,0.78611153,4.2223787,7.919,0.77784982,2.2557913,2.1961371,3.2278817,11.133861,11.108683,3.0177133,12.818299,4.1020808,2.4563245,1.6050723,5.6170975,0.91040886,2.258703,1.8475091,0.11706633,5.1297914,13.296004,0.63882646,0.45330473,1.3069663,0.28179447,0.33560666,4.7071789,3.3643825,1.7276829,5.3164862,4.6386616,0.51378569,7.9478862,0.13177583,0.19540336,4.1328772,5.6371245,3.9357791,6.2795749,2.0572602,0.16188004,0.25178153,18.31405,1.644754,0.39031673,0.7107568,4.8986252,0.23117392,3.8330059,0.2178354,0.91861358,1.8260734,7.3164955,1.1067399,3.2564347,0.074257467,0.73274622,0.94477989,0.38316284,1.116566,0.18069284,0.4310541,0.35936919,0.42331523,1.6579279,2.8957777,0.4314807,0.3138334,0.0035330688,1.1187335,0.44717687,1.353539,0.14031621,0.57796603,0.4825787,0.88841651,0.27493606,0.92262902,0.099864285,0,2.1359972,0.48494542,3.6546916,0.78807455,0.62120647,1.6352557,1.4800753,3.9199399,2.1278888,10.933212,87.317878,0.83719698,0.095814294,6.2331689,0.015302457,0.11919549,1.7216468,1.4159882,0.3320304,7.7898198,1.8356967,0.48482248,0.56369051,0.0037830359,3.3478002,0.047735089,0.04170805,7.0945048,0.19611916,0.029524517,6.7300953,2.4753238,0.10336007,2.5035614
Anshan,49.400066,1.3365652,12.383929,1.2241148,0.30287862,244.34688,36.103487,0.66372306,0.50323727,11.794218,12.403214,3.0003562,4.8059851,2.0546931,11.158154,1.4389136,0.092474953,0.076329135,0.32028617,2.7661126,1.0282743,0.22463478,0.45495411,8.3990668,91.270314,0.083272651,0.55480184,11.918316,0.12085533,0.2258978,10.596755,0.040018722,0.076180284,0.14308555,0.054367017,0.10449602,0.075839407,0,0.13330526,0.66890245,0.19173413,0.064077498,6.2123181,1.2643435,0.001775302,0.19174417,1.1747663,0.1231431,0.55442498,2.3897303,2.0854725,19.16721,0.11191875,3.536134,0.15408167,0.12154059,47.542596,2.6589844,0.12851101,0.97574827,6.0707048,0.77817153,5.2114204,0.076166502,0.52543652,1.3902252,67.217912,0.099353008,0.10743859,0.014207957,0.068802448,0.89244144,0.024753973,0.23177542,0.073859833,0.044139878,0.79220765,2.6180882,2.9214398,1.3107888,0.38485111,5.7019498,6.1000352,0.7267726,0.012642569,0.014677974,0.75088602,2.9447181,0.12195301,0.19386635,0.73246072,0.020151077,0.018639799,0.16221818,0.12098573,0.018684788,0.039819022,0.66845842,0.98379473,0.085685134,0.024329377,0.025390146,1.7762577,0.33365815,0.1939648,0.17221238,0.015382801,0.026734185,0.24616854,0.020688917,0.26422668,4.8210672,5.4607572,0.023501853,2.3618707,0.039792369,0.047166417,0.016273158,0.059960232,0.0023984958,0.064645698,0.021509386,0.029914078,0.026007896,1.8524795,0.14747993,178.90297,0.017729433,0.092873315,0.94189733,0.045426615,0.061499296,14.087047,0.059110173,0.021833425,47.799712,0.047325347,0.11603405,0.11720077,0.57167513,0.25705347,0.14392182,0.4655616,0.25098014,0.041200186,0.0039886732,0.0074219894,0.16881116,0.14107572,0.012226288,0.51240896,0.15127232,0.11010848,0.024377609,0.0029858613,0.062271242,0.11522468,0.91644437,0.075616779,0.017301214,0.0018185056,0.037419695,0.20508505,0.72704075,1.2398247
Anshun,4.7966925,24.042297,6.5108467,4.4188634,12.050427,1.1488199,2.9148564,3.1219774,17.948667,2.3536165,0.40129524,3.3355963,3.3698899,1.2483088,0.2107629,1.754425,10.553391,18.242004,7.0032622,0.85343275,2.8601353,3.5976215,4.8517017,0.69964553,0.30841813,0.20752229,0.5979011,0.20557128,0.72547185,0.85059561,0.49471525,36.627044,0.35675519,0.27234511,5.9562939,1.8029819,4.3716701,0.16164275,1.0072981,0.27200909,0.2814382,2.9227654,0.025338294,0.73037514,0.0086860433,0.087987809,0.82698698,2.3400929,0.50459623,1.3301827,0.10065015,0.13646326,1.5026768,0.39473098,0.1672499,0.5844676,0.20834101,0.35837876,1.0127486,0.42746867,0.32688849,0.30835898,0.23225327,1.4023916,0.17152765,0.37182088,0.077775223,0.94684855,2.5309695,2.0696669,0.82790312,0.40978658,4.0964194,0.058838143,0.32318644,0.977456,0.042529588,0.40003036,0.41664816,0.10772795,0.43791887,0.66371949,0.094806056,0.47795613,3.259924,0.57741645,0.27570445,0.57014748,2.3569303,0.13474139,0.34940741,0.78261659,0.99652936,0.17238208,0.35377051,2.9817799,0.56502549,0.23872336,0.0242473,0.3399089,4.4897672,0.71637415,0.20481529,0.40912375,0.16061941,0.34804333,0.099378834,0.40798863,0.12387944,0.54967365,0.092864421,0.035923091,0.043512898,1.0267293,0.065454588,0.86667437,0.39659113,1.2103899,0.068218223,0.005821616,0.51312203,1.0378287,1.1454908,0.14927058,0.074028836,0.11510722,0.19412358,0.54224797,0.16461525,0.030460733,0.089022359,0.94309174,0.043843982,1.0181272,0.14227138,0.052324577,0.94747873,0.17460663,0.13066043,0.1358782,0.9133336,0.37507374,0.10187767,0.011386056,0.14881183,0.011114074,0.9152309,0.23236339,0.14600409,3.0514057,0.27670681,0.60304061,0.30399758,0.6253397,0.0067313298,0.13518254,0.005888378,0.0089382096,0.25062985,0.052445067,0.14939748,0.19217649,0.11078194,0.025567114,0.24166173
