City,proportion
Alashan,1
Dingan,1
Tunchang,1
Lingshui,1
Baoting,1
Qiongzhong,1
Naqu,1
Haibei,1
Hainan,1
Guoluo,1
Yushu,1
Baisha,1
Huangnan,1
Zhongwei,0.8667
Lingao,0.7778
Aba,0.7727
Chengmai,0.75
Ledong,0.75
Gannan,0.75
Yanan,0.6784
Chuxiong,0.6119
Linxia,0.6111
Shuozhou,0.6047
Dongfang,0.6
Xinzhou,0.5944
Haidong,0.5714
Wulanchabu,0.5686
Baishan,0.5593
Chongzuo,0.5514
Longnan,0.5455
Shanwei,0.5133
Xiuqian,0.5075
Ganzi,0.5
Changdu,0.5
Linzhi,0.5
Tumushuke,0.5
Shannan,0.5
Alaer,0.5
Ali,0.5
Langfang,0.4916
Fuuzhou,0.4876
Lijiang,0.4839
Bijie,0.4731
Guyuan,0.4667
Jingdezhen,0.4653
Tianshui,0.451
Tacheng,0.45
Qiqihaer,0.4462
Laibin,0.4444
Haixi,0.4444
Xuancheng,0.4416
Ningde,0.4345
Yingtan,0.4337
Liangshan,0.4298
Suihua,0.4279
Shaotong,0.4267
Changji,0.4265
Chuzhou,0.4241
Hechi,0.4217
Jian,0.4195
Huaibei,0.4174
Shangrao,0.4152
Wuzhong,0.4151
Yunfu,0.4143
Guangan,0.4141
Chaozhou,0.413
Fushun,0.4125
Qiannan,0.4
Lasa,0.4
Baiyin,0.3974
Qitaihe,0.3971
Eerduosi,0.3958
Hanzhong,0.3941
Yiichun,0.393
Fangchenggang,0.3878
Pingliang,0.3867
Baicheng,0.3857
Xinyang,0.3855
Hetian,0.3846
Lvliang,0.3779
Zhoushan,0.3761
Wenchang,0.375
Dingxi,0.375
Tieling,0.3699
Qingyang,0.3673
Heyuan,0.3646
Loudi,0.3642
Huainan,0.3641
Xilinguole,0.3636
Shuangyashan,0.3636
Wanning,0.3636
Qujing,0.3629
Wuhai,0.3617
Shenzhen,0.3603
Tongren,0.3523
Qionghai,0.3478
Bazhong,0.3478
Huanggang,0.3455
Liuan,0.3446
Hegang,0.344
Songyuan,0.3411
Liaoyuan,0.3396
Yichun,0.3359
Jinzhong,0.3348
Puer,0.3333
Nujiang,0.3333
Yuulin,0.3333
Jinchang,0.3333
Boertalameng,0.3333
Shangqiu,0.332
Suzhou,0.3313
Zhoukou,0.3305
Hengshui,0.3304
Liupanshui,0.3299
Xiantao,0.3295
Yueyang,0.3263
Zhaoqing,0.3255
Hulunbeier,0.3243
Danzhou,0.3243
Jixi,0.3239
Heihe,0.32
Xiaogan,0.32
Yongzhou,0.3182
Huangshan,0.3179
Yaan,0.3134
Yuxi,0.3107
Jieyang,0.3089
Beihai,0.3067
Dehong,0.303
Diqing,0.303
Meishan,0.3023
Tongchuan,0.3019
Anqing,0.3011
Daqing,0.3
Zhangye,0.2991
Yanbian,0.2989
Lincang,0.2973
Yingkou,0.2969
